family,size,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All
qwen3,14b,8e-07,0.01,600,20577.5,72.18430034129693,35.35353535353536,91.81197877179682,82.26448914558853,78.12840043525571,67.13782652896467,86.29386693971995,77.16666666666666,88.21656050955414,54.21694688295366,1278.9416621329597,0.16190819260935968,1.2113337359160383,0.5435174810845156
qwen3,14b,8e-07,0.01,800,27436.7,72.7815699658703,36.36363636363637,91.0538286580743,82.31428002389963,78.34602829162132,67.86258432339157,86.96331289866444,75.46666666666665,86.94267515923568,54.31636215007462,1292.974219045774,0.2783814375263893,1.3759914365554846,0.6775123462642423
qwen3,14b,8e-07,0.01,1000,34295.8,73.20819112627987,35.35353535353536,89.53752843062927,82.42381995618403,78.34602829162132,68.2146042533439,85.47204750063166,74.83333333333334,86.85897435897436,53.470520666703216,1267.187231937861,0.0410438397769804,1.3014066580360433,0.499357591871185
qwen3,14b,8e-07,0.01,1200,41155.0,73.20819112627987,34.84848484848485,88.09704321455648,82.47361083449512,78.50924918389553,68.46729096475461,82.53822080967389,74.26666666666665,86.03896103896103,52.89262895980343,1299.082046777221,-0.14172982173657436,1.4641422019649835,0.44222364142762843
qwen3,14b,8e-07,0.01,1400,48014.2,73.37883959044369,34.34343434343434,88.47611827141773,82.41386178052181,78.40043525571274,68.68164915238538,81.23179829519009,73.53333333333333,83.76623376623377,52.38511884180318,1287.566515775698,-0.19423894130704172,1.3095193545822659,0.35258225719816105
qwen3,14b,8e-07,0.01,1600,54873.3,73.63481228668942,34.84848484848485,88.855193328279,82.48356901015734,78.61806311207835,68.90734116586911,78.9924068139204,72.2,84.86842105263158,52.24392365475063,1269.2463381628888,-0.013037778321594926,1.09910905215931,0.39137925094418885
qwen3,14b,8e-07,0.01,1800,61732.5,73.46416382252559,34.84848484848485,87.94541319181198,82.47361083449512,78.78128400435256,68.85901361627971,74.01777284272397,67.9,84.19354838709677,52.169796538469605,1258.9058412764557,-0.2604268014986385,0.7783513279979063,0.11731070013646869
qwen3,14b,8e-07,0.01,2000,68591.7,73.46416382252559,33.83838383838384,87.64215314632298,82.53335988846842,78.34602829162132,68.87578082808655,74.21635704375502,72.66666666666666,84.21052631578947,51.7158989872868,1258.8449445776746,-0.40510580792161804,1.0725620479137354,0.13222795783669225
qwen3,14b,8e-07,0.01,2031,69654.8,73.63481228668942,35.35353535353536,88.70356330553449,82.39394542919737,78.18280739934713,68.83678554706216,75.0981285212126,71.33333333333333,85.06493506493507,52.70629386378324,1263.64856081427,-0.20793415905669305,1.1084125992937897,0.2707373894343915
qwen3,14b,8e-07,0.02,200,6804.4,69.7952218430034,36.36363636363637,88.09704321455648,81.8263294164509,80.41349292709467,57.942949142321964,87.05324095621839,65.86666666666666,76.2987012987013,31.97892296138244,1188.0285182725245,0.03770500044662891,-0.0036723425870644655,0.022658693888922235
