family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,48,349.3,57.5938566552901,23.232323232323232,34.950720242608035,67.13802031467834,75.1904243743199,47.520113782519005,65.23380186793264,49.36666666666666,51.94805194805194,4.070683905228628,726.1916499241433
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,96,698.5,56.91126279863481,24.242424242424242,31.46322971948446,67.56622186815375,75.40805223068553,47.535138802569406,64.87408963771682,54.03333333333333,50.67567567567568,4.525767303222464,720.5894835973373
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,144,1047.8,57.081911262798634,22.22222222222222,31.311599696739954,67.74546903007369,75.51686615886834,47.833591657196955,65.22504731889165,55.599999999999994,59.589041095890416,5.066244309719208,753.8275296948513
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,192,1397.0,56.996587030716725,23.232323232323232,34.19257012888552,67.81517625970922,75.57127312295974,47.772719140590524,65.40739681822009,55.0,65.0,6.322960867443584,768.205687177028
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,240,1746.3,57.5938566552901,22.727272727272727,34.874905231235786,67.97450707030472,75.35364526659413,47.77550307562872,64.41946258150595,55.599999999999994,63.90728476821192,6.572681542062901,759.7212368064278
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,288,2095.5,57.423208191126285,23.232323232323232,35.25398028809704,68.03425612427803,75.68008705114254,47.92111477508516,65.52979427917924,52.8,67.8082191780822,7.017033373797147,740.0402229920862
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,336,2444.8,57.67918088737202,24.242424242424242,35.70887035633055,67.93467436765584,75.73449401523395,48.058061987217876,64.43320389898803,58.46666666666667,64.09395973154362,7.382747910713064,778.3274313063599
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,384,2794.0,57.84982935153583,21.71717171717172,36.01213040181956,67.94463254331806,75.62568008705114,48.09709044773167,64.44943860069061,54.39999999999999,71.42857142857143,6.749121000231852,822.2514551965005
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,432,3143.3,57.84982935153583,22.22222222222222,36.23957543593632,67.89484166500696,76.00652883569097,48.01995213043364,66.06060807546199,58.76666666666666,69.6551724137931,6.564103714462578,806.9973617264175
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.02,478,3478.0,57.33788395904437,24.242424242424242,36.08794541319181,68.01433977295359,75.73449401523395,48.03897471937385,65.19008453126594,54.46666666666666,65.51724137931035,6.9867189824261935,751.5681260660041
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.04,48,345.9,56.8259385665529,24.747474747474747,33.66186504927976,67.31726747659829,75.1904243743199,47.49631272547829,64.94778299356818,49.06666666666666,51.006711409395976,4.067936775617734,744.6966391178357
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.04,96,691.8,57.16723549488054,22.727272727272727,32.60045489006823,67.43676558454491,75.57127312295974,47.6094172717988,64.29207835210575,50.53333333333333,51.33333333333333,5.258310803336447,762.0022616082664
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.04,144,1037.7,57.081911262798634,23.737373737373737,33.434420015163,67.57618004381597,75.35364526659413,47.84972419928586,64.17466765958767,51.96666666666666,56.5068493150685,4.744701831608915,762.9621671619427
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.04,192,1383.5,56.74061433447098,22.727272727272727,34.874905231235786,67.71559450308703,75.46245919477693,47.84603497000437,64.50689725483937,58.633333333333326,63.26530612244898,7.0085933425872895,751.8221239495962
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.04,240,1729.4,57.423208191126285,22.22222222222222,37.6800606520091,67.73551085441147,75.57127312295974,47.93898556885055,65.5273008949587,56.46666666666667,61.74496644295302,6.022817227523659,797.817515322046
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.04,288,2075.3,57.423208191126285,23.232323232323232,39.57543593631539,67.69567815176259,75.73449401523395,48.04112438402965,65.75586111517441,56.53333333333333,64.48275862068965,6.880234692929845,784.6285262293471
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.04,336,2421.2,57.081911262798634,22.22222222222222,39.65125094768764,67.72555267874925,75.89771490750816,48.071239409381135,65.10763662637358,58.69999999999999,65.38461538461539,6.258245483538487,790.8934654200518
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.04,384,2767.1,56.91126279863481,21.21212121212121,38.210765731614856,67.79525990838479,75.24483133841132,48.12059405016439,65.02646311786062,56.76666666666666,63.17567567567568,7.068431544564066,767.3729493611534
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.04,432,3113.0,57.16723549488054,23.232323232323232,40.10614101592115,67.82513443537144,75.73449401523395,48.205758615611636,64.99648709867596,57.93333333333333,65.56291390728477,6.951424918017313,822.3260352093291
qwen3,1.7b,ultrafeedback_binarized,4e-06,0.04,478,3444.5,57.081911262798634,25.252525252525253,39.8786959818044,67.82513443537144,75.95212187159956,48.2428191839462,65.85077594116943,55.73333333333333,65.87837837837837,6.524644378799373,803.7385902226927
