family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,Z-Macro
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,192,1369.7,56.74061433447098,22.727272727272727,30.856709628506447,67.3770165305716,75.40805223068553,47.31429875019299,63.973590074336094,53.3,54.276315789473685,5.521324918602768,732.1089372427756,-0.6033100799116035,-0.11252114153168467,-0.42484137504617847,-0.3579156107216441
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,240,1712.1,56.996587030716725,24.242424242424242,31.69067475360121,67.38697470623381,75.1360174102285,47.437795412777085,65.96818663368751,53.4,55.70469798657718,4.563448981152717,746.9290508871818,0.04176860775818235,-0.4117090566263453,-0.12313236110891862,-0.18497022443408148
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,288,2054.5,56.8259385665529,20.707070707070706,30.932524639878693,67.45668193586934,75.46245919477693,47.195251015806754,64.1097288527773,50.233333333333334,55.70469798657718,4.755244060348442,761.9037023878569,-0.7495248296537653,-0.3270363330091748,-0.5958926490557324,-0.53828058133147
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,336,2396.9,57.25255972696246,22.22222222222222,31.15996967399545,67.43676558454491,75.51686615886834,47.302298164925894,64.76792687846027,53.03333333333333,52.27272727272727,4.726519111665873,729.3101997693009,-0.41414589962642623,-0.5158227108829873,-0.4511192855379029,-0.46498430525470674
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,384,2739.4,57.081911262798634,23.737373737373737,30.477634571645183,67.52638916550488,75.46245919477693,47.31111672228776,64.59682531239334,51.699999999999996,56.95364238410596,4.5897075193436265,766.0710408574665,-0.09899786638039251,-0.21913717916322484,-0.14268488921051337,-0.1590675227718087
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,432,3081.8,56.996587030716725,23.232323232323232,31.614859742228962,67.44672376020714,75.73449401523395,47.32884930102589,64.60807324565486,52.86666666666666,55.26315789473685,4.721557733714181,774.7859360173085,-0.43562429033230554,-0.2102109592934951,-0.3536558063181927,-0.3229176248129003
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,478,3409.9,56.91126279863481,22.727272727272727,32.52463987869598,67.49651463851822,75.1904243743199,47.43769281634293,66.14178158397496,54.1,53.02013422818792,4.210045036474497,726.6971430079254,-0.2696621556707345,-0.5770252995849221,-0.38143057163953,-0.4233437276278283
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,48,346.8,56.484641638225256,24.242424242424242,33.88931008339651,67.24756024696276,75.35364526659413,47.37520192288094,64.6105666298754,50.266666666666666,49.32432432432432,4.171488679718141,755.2711750649289,-0.2632415205330407,0.4129253910665125,-0.017362643587748628,0.07484193526673591
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,96,693.5,56.8259385665529,22.727272727272727,32.52463987869598,67.30730930093607,75.46245919477693,47.39403429643714,65.20631923296853,51.5,54.966887417218544,4.336181579116667,755.8035380572005,0.02024131633438261,0.4141900522598403,0.1634954021254581,0.21721568429711144
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,144,1040.3,57.423208191126285,22.22222222222222,31.46322971948446,67.29735112527385,75.51686615886834,47.50361920131327,63.973590074336094,51.666666666666664,51.65562913907284,4.716027934712745,742.6728110112025,-0.08139104227940866,-0.0859798269775133,-0.08305969126053764,-0.08368543462846098
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,192,1387.0,57.081911262798634,22.727272727272727,33.05534495830174,67.40689105755825,75.29923830250273,47.370287624860566,64.97775901275283,51.633333333333326,52.666666666666664,4.340141382722424,736.1630994182503,0.030336974057289325,-0.5648482422913391,-0.1860940137058483,-0.2672556341170249
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,240,1733.8,56.91126279863481,23.232323232323232,31.766489764973464,67.38697470623381,75.35364526659413,47.30309298145871,64.67301205246524,53.8,57.666666666666664,4.624743883191109,777.2980261706788,-0.38183572903365276,0.18211203156950068,-0.1767638160870515,-0.09986184873207604
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,288,2080.5,57.16723549488054,23.737373737373737,32.14556482183472,67.49651463851822,75.0816104461371,47.271703575346656,63.6850778157511,55.0,52.36486486486487,4.367837715485142,754.8272089533261,-0.42973072522284905,-0.2580888143257603,-0.36731548489663496,-0.34390976977430465
